No.	Name	Description	Block	Sub-Block	
1087	GATS5i	Geary autocorrelation of lag 5 weighted by ionization potential	2D autocorrelations	Geary autocorrelations	
1088	GATS6i	Geary autocorrelation of lag 6 weighted by ionization potential	2D autocorrelations	Geary autocorrelations	
1089	GATS7i	Geary autocorrelation of lag 7 weighted by ionization potential	2D autocorrelations	Geary autocorrelations	
1090	GATS8i	Geary autocorrelation of lag 8 weighted by ionization potential	2D autocorrelations	Geary autocorrelations	
1091	GATS1s	Geary autocorrelation of lag 1 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1092	GATS2s	Geary autocorrelation of lag 2 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1093	GATS3s	Geary autocorrelation of lag 3 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1094	GATS4s	Geary autocorrelation of lag 4 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1095	GATS5s	Geary autocorrelation of lag 5 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1096	GATS6s	Geary autocorrelation of lag 6 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1097	GATS7s	Geary autocorrelation of lag 7 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1098	GATS8s	Geary autocorrelation of lag 8 weighted by I-state	2D autocorrelations	Geary autocorrelations	
1099	GGI1	topological charge index of order 1	2D autocorrelations	Topological charge autocorrelations	
1100	GGI2	topological charge index of order 2	2D autocorrelations	Topological charge autocorrelations	
1101	GGI3	topological charge index of order 3	2D autocorrelations	Topological charge autocorrelations	
1102	GGI4	topological charge index of order 4	2D autocorrelations	Topological charge autocorrelations	
1103	GGI5	topological charge index of order 5	2D autocorrelations	Topological charge autocorrelations	
1104	GGI6	topological charge index of order 6	2D autocorrelations	Topological charge autocorrelations	
1105	GGI7	topological charge index of order 7	2D autocorrelations	Topological charge autocorrelations	
1106	GGI8	topological charge index of order 8	2D autocorrelations	Topological charge autocorrelations	
1107	GGI9	topological charge index of order 9	2D autocorrelations	Topological charge autocorrelations	
1108	GGI10	topological charge index of order 10	2D autocorrelations	Topological charge autocorrelations	
1109	JGI1	mean topological charge index of order 1	2D autocorrelations	Topological charge autocorrelations	
1110	JGI2	mean topological charge index of order 2	2D autocorrelations	Topological charge autocorrelations	
1111	JGI3	mean topological charge index of order 3	2D autocorrelations	Topological charge autocorrelations	
1112	JGI4	mean topological charge index of order 4	2D autocorrelations	Topological charge autocorrelations	
1113	JGI5	mean topological charge index of order 5	2D autocorrelations	Topological charge autocorrelations	
1114	JGI6	mean topological charge index of order 6	2D autocorrelations	Topological charge autocorrelations	
1115	JGI7	mean topological charge index of order 7	2D autocorrelations	Topological charge autocorrelations	
1116	JGI8	mean topological charge index of order 8	2D autocorrelations	Topological charge autocorrelations	
1117	JGI9	mean topological charge index of order 9	2D autocorrelations	Topological charge autocorrelations	
1118	JGI10	mean topological charge index of order 10	2D autocorrelations	Topological charge autocorrelations	
1119	JGT	global topological charge index	2D autocorrelations	Topological charge autocorrelations	
1120	SpMax1_Bh(m)	largest eigenvalue n. 1 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1121	SpMax2_Bh(m)	largest eigenvalue n. 2 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1122	SpMax3_Bh(m)	largest eigenvalue n. 3 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1123	SpMax4_Bh(m)	largest eigenvalue n. 4 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1124	SpMax5_Bh(m)	largest eigenvalue n. 5 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1125	SpMax6_Bh(m)	largest eigenvalue n. 6 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1126	SpMax7_Bh(m)	largest eigenvalue n. 7 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1127	SpMax8_Bh(m)	largest eigenvalue n. 8 of Burden matrix weighted by mass	Burden eigenvalues	Largest eigenvalues	
1128	SpMax1_Bh(v)	largest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1129	SpMax2_Bh(v)	largest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1130	SpMax3_Bh(v)	largest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1131	SpMax4_Bh(v)	largest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1132	SpMax5_Bh(v)	largest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1133	SpMax6_Bh(v)	largest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1134	SpMax7_Bh(v)	largest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1135	SpMax8_Bh(v)	largest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Largest eigenvalues	
1136	SpMax1_Bh(e)	largest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1137	SpMax2_Bh(e)	largest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1138	SpMax3_Bh(e)	largest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1139	SpMax4_Bh(e)	largest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1140	SpMax5_Bh(e)	largest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1141	SpMax6_Bh(e)	largest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1142	SpMax7_Bh(e)	largest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1143	SpMax8_Bh(e)	largest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Largest eigenvalues	
1144	SpMax1_Bh(p)	largest eigenvalue n. 1 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1145	SpMax2_Bh(p)	largest eigenvalue n. 2 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1146	SpMax3_Bh(p)	largest eigenvalue n. 3 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1147	SpMax4_Bh(p)	largest eigenvalue n. 4 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1148	SpMax5_Bh(p)	largest eigenvalue n. 5 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1149	SpMax6_Bh(p)	largest eigenvalue n. 6 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1150	SpMax7_Bh(p)	largest eigenvalue n. 7 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1151	SpMax8_Bh(p)	largest eigenvalue n. 8 of Burden matrix weighted by polarizability	Burden eigenvalues	Largest eigenvalues	
1152	SpMax1_Bh(i)	largest eigenvalue n. 1 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1153	SpMax2_Bh(i)	largest eigenvalue n. 2 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1154	SpMax3_Bh(i)	largest eigenvalue n. 3 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1155	SpMax4_Bh(i)	largest eigenvalue n. 4 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1156	SpMax5_Bh(i)	largest eigenvalue n. 5 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1157	SpMax6_Bh(i)	largest eigenvalue n. 6 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1158	SpMax7_Bh(i)	largest eigenvalue n. 7 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1159	SpMax8_Bh(i)	largest eigenvalue n. 8 of Burden matrix weighted by ionization potential	Burden eigenvalues	Largest eigenvalues	
1160	SpMax1_Bh(s)	largest eigenvalue n. 1 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1161	SpMax2_Bh(s)	largest eigenvalue n. 2 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1162	SpMax3_Bh(s)	largest eigenvalue n. 3 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1163	SpMax4_Bh(s)	largest eigenvalue n. 4 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1164	SpMax5_Bh(s)	largest eigenvalue n. 5 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1165	SpMax6_Bh(s)	largest eigenvalue n. 6 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1166	SpMax7_Bh(s)	largest eigenvalue n. 7 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1167	SpMax8_Bh(s)	largest eigenvalue n. 8 of Burden matrix weighted by I-state	Burden eigenvalues	Largest eigenvalues	
1168	SpMin1_Bh(m)	smallest eigenvalue n. 1 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1169	SpMin2_Bh(m)	smallest eigenvalue n. 2 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1170	SpMin3_Bh(m)	smallest eigenvalue n. 3 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1171	SpMin4_Bh(m)	smallest eigenvalue n. 4 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1172	SpMin5_Bh(m)	smallest eigenvalue n. 5 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1173	SpMin6_Bh(m)	smallest eigenvalue n. 6 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1174	SpMin7_Bh(m)	smallest eigenvalue n. 7 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1175	SpMin8_Bh(m)	smallest eigenvalue n. 8 of Burden matrix weighted by mass	Burden eigenvalues	Smallest eigenvalues	
1176	SpMin1_Bh(v)	smallest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1177	SpMin2_Bh(v)	smallest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1178	SpMin3_Bh(v)	smallest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1179	SpMin4_Bh(v)	smallest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1180	SpMin5_Bh(v)	smallest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1181	SpMin6_Bh(v)	smallest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1182	SpMin7_Bh(v)	smallest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1183	SpMin8_Bh(v)	smallest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume	Burden eigenvalues	Smallest eigenvalues	
1184	SpMin1_Bh(e)	smallest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1185	SpMin2_Bh(e)	smallest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1186	SpMin3_Bh(e)	smallest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1187	SpMin4_Bh(e)	smallest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1188	SpMin5_Bh(e)	smallest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1189	SpMin6_Bh(e)	smallest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1190	SpMin7_Bh(e)	smallest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1191	SpMin8_Bh(e)	smallest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity	Burden eigenvalues	Smallest eigenvalues	
1192	SpMin1_Bh(p)	smallest eigenvalue n. 1 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1193	SpMin2_Bh(p)	smallest eigenvalue n. 2 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1194	SpMin3_Bh(p)	smallest eigenvalue n. 3 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1195	SpMin4_Bh(p)	smallest eigenvalue n. 4 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1196	SpMin5_Bh(p)	smallest eigenvalue n. 5 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1197	SpMin6_Bh(p)	smallest eigenvalue n. 6 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1198	SpMin7_Bh(p)	smallest eigenvalue n. 7 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1199	SpMin8_Bh(p)	smallest eigenvalue n. 8 of Burden matrix weighted by polarizability	Burden eigenvalues	Smallest eigenvalues	
1200	SpMin1_Bh(i)	smallest eigenvalue n. 1 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1201	SpMin2_Bh(i)	smallest eigenvalue n. 2 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1202	SpMin3_Bh(i)	smallest eigenvalue n. 3 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1203	SpMin4_Bh(i)	smallest eigenvalue n. 4 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1204	SpMin5_Bh(i)	smallest eigenvalue n. 5 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1205	SpMin6_Bh(i)	smallest eigenvalue n. 6 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1206	SpMin7_Bh(i)	smallest eigenvalue n. 7 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1207	SpMin8_Bh(i)	smallest eigenvalue n. 8 of Burden matrix weighted by ionization potential	Burden eigenvalues	Smallest eigenvalues	
1208	SpMin1_Bh(s)	smallest eigenvalue n. 1 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1209	SpMin2_Bh(s)	smallest eigenvalue n. 2 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1210	SpMin3_Bh(s)	smallest eigenvalue n. 3 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1211	SpMin4_Bh(s)	smallest eigenvalue n. 4 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1212	SpMin5_Bh(s)	smallest eigenvalue n. 5 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1213	SpMin6_Bh(s)	smallest eigenvalue n. 6 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1214	SpMin7_Bh(s)	smallest eigenvalue n. 7 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1215	SpMin8_Bh(s)	smallest eigenvalue n. 8 of Burden matrix weighted by I-state	Burden eigenvalues	Smallest eigenvalues	
1216	P_VSA_LogP_1	P_VSA-like on LogP, bin 1	P_VSA-like descriptors	LogP	
1217	P_VSA_LogP_2	P_VSA-like on LogP, bin 2	P_VSA-like descriptors	LogP	
1218	P_VSA_LogP_3	P_VSA-like on LogP, bin 3	P_VSA-like descriptors	LogP	
1219	P_VSA_LogP_4	P_VSA-like on LogP, bin 4	P_VSA-like descriptors	LogP	
1220	P_VSA_LogP_5	P_VSA-like on LogP, bin 5	P_VSA-like descriptors	LogP	
1221	P_VSA_LogP_6	P_VSA-like on LogP, bin 6	P_VSA-like descriptors	LogP	
1222	P_VSA_LogP_7	P_VSA-like on LogP, bin 7	P_VSA-like descriptors	LogP	
1223	P_VSA_LogP_8	P_VSA-like on LogP, bin 8	P_VSA-like descriptors	LogP	
1224	P_VSA_MR_1	P_VSA-like on Molar Refractivity, bin 1	P_VSA-like descriptors	Molar Refractivity	
1225	P_VSA_MR_2	P_VSA-like on Molar Refractivity, bin 2	P_VSA-like descriptors	Molar Refractivity	
1226	P_VSA_MR_3	P_VSA-like on Molar Refractivity, bin 3	P_VSA-like descriptors	Molar Refractivity	
1227	P_VSA_MR_4	P_VSA-like on Molar Refractivity, bin 4	P_VSA-like descriptors	Molar Refractivity	
1228	P_VSA_MR_5	P_VSA-like on Molar Refractivity, bin 5	P_VSA-like descriptors	Molar Refractivity	
1229	P_VSA_MR_6	P_VSA-like on Molar Refractivity, bin 6	P_VSA-like descriptors	Molar Refractivity	
1230	P_VSA_MR_7	P_VSA-like on Molar Refractivity, bin 7	P_VSA-like descriptors	Molar Refractivity	
1231	P_VSA_MR_8	P_VSA-like on Molar Refractivity, bin 8	P_VSA-like descriptors	Molar Refractivity	
1232	P_VSA_m_1	P_VSA-like on mass, bin 1	P_VSA-like descriptors	Mass	
1233	P_VSA_m_2	P_VSA-like on mass, bin 2	P_VSA-like descriptors	Mass	
1234	P_VSA_m_3	P_VSA-like on mass, bin 3	P_VSA-like descriptors	Mass	
1235	P_VSA_m_4	P_VSA-like on mass, bin 4	P_VSA-like descriptors	Mass	
1236	P_VSA_m_5	P_VSA-like on mass, bin 5	P_VSA-like descriptors	Mass	
1237	P_VSA_v_1	P_VSA-like on van der Waals volume, bin 1	P_VSA-like descriptors	Van der Waals volume	
1238	P_VSA_v_2	P_VSA-like on van der Waals volume, bin 2	P_VSA-like descriptors	Van der Waals volume	
1239	P_VSA_v_3	P_VSA-like on van der Waals volume, bin 3	P_VSA-like descriptors	Van der Waals volume	
1240	P_VSA_v_4	P_VSA-like on van der Waals volume, bin 4	P_VSA-like descriptors	Van der Waals volume	
1241	P_VSA_e_1	P_VSA-like on Sanderson electronegativity, bin 1	P_VSA-like descriptors	Sanderson electronegativity	
1242	P_VSA_e_2	P_VSA-like on Sanderson electronegativity, bin 2	P_VSA-like descriptors	Sanderson electronegativity	
1243	P_VSA_e_3	P_VSA-like on Sanderson electronegativity, bin 3	P_VSA-like descriptors	Sanderson electronegativity	
1244	P_VSA_e_4	P_VSA-like on Sanderson electronegativity, bin 4	P_VSA-like descriptors	Sanderson electronegativity	
1245	P_VSA_e_5	P_VSA-like on Sanderson electronegativity, bin 5	P_VSA-like descriptors	Sanderson electronegativity	
1246	P_VSA_e_6	P_VSA-like on Sanderson electronegativity, bin 6	P_VSA-like descriptors	Sanderson electronegativity	
1247	P_VSA_p_1	P_VSA-like on polarizability, bin 1	P_VSA-like descriptors	Polarizability	
1248	P_VSA_p_2	P_VSA-like on polarizability, bin 2	P_VSA-like descriptors	Polarizability	
1249	P_VSA_p_3	P_VSA-like on polarizability, bin 3	P_VSA-like descriptors	Polarizability	
1250	P_VSA_p_4	P_VSA-like on polarizability, bin 4	P_VSA-like descriptors	Polarizability	
1251	P_VSA_i_1	P_VSA-like on ionization potential, bin 1	P_VSA-like descriptors	Ionization Potential	
1252	P_VSA_i_2	P_VSA-like on ionization potential, bin 2	P_VSA-like descriptors	Ionization Potential	
1253	P_VSA_i_3	P_VSA-like on ionization potential, bin 3	P_VSA-like descriptors	Ionization Potential	
1254	P_VSA_i_4	P_VSA-like on ionization potential, bin 4	P_VSA-like descriptors	Ionization Potential	
1255	P_VSA_s_1	P_VSA-like on I-state, bin 1	P_VSA-like descriptors	Intrinsic State	
1256	P_VSA_s_2	P_VSA-like on I-state, bin 2	P_VSA-like descriptors	Intrinsic State	
1257	P_VSA_s_3	P_VSA-like on I-state, bin 3	P_VSA-like descriptors	Intrinsic State	
1258	P_VSA_s_4	P_VSA-like on I-state, bin 4	P_VSA-like descriptors	Intrinsic State	
1259	P_VSA_s_5	P_VSA-like on I-state, bin 5	P_VSA-like descriptors	Intrinsic State	
1260	P_VSA_s_6	P_VSA-like on I-state, bin 6	P_VSA-like descriptors	Intrinsic State	
1261	P_VSA_ppp_L	P_VSA-like on potential pharmacophore points, L - lipophilic	P_VSA-like descriptors	Potential Pharmacophore Points	
1262	P_VSA_ppp_P	P_VSA-like on potential pharmacophore points, P - positive	P_VSA-like descriptors	Potential Pharmacophore Points	
1263	P_VSA_ppp_N	P_VSA-like on potential pharmacophore points, N - negative	P_VSA-like descriptors	Potential Pharmacophore Points	
1264	P_VSA_ppp_D	P_VSA-like on potential pharmacophore points, D - hydrogen-bond donor	P_VSA-like descriptors	Potential Pharmacophore Points	
1265	P_VSA_ppp_A	P_VSA-like on potential pharmacophore points, A - hydrogen-bond acceptor	P_VSA-like descriptors	Potential Pharmacophore Points	
1266	P_VSA_ppp_ar	P_VSA-like on potential pharmacophore points, ar - aromatic atoms	P_VSA-like descriptors	Potential Pharmacophore Points	
1267	P_VSA_ppp_con	P_VSA-like on potential pharmacophore points, con - conjugated atoms	P_VSA-like descriptors	Potential Pharmacophore Points	
1268	P_VSA_ppp_hal	P_VSA-like on potential pharmacophore points, hal - halogen atoms	P_VSA-like descriptors	Potential Pharmacophore Points	
1269	P_VSA_ppp_cyc	P_VSA-like on potential pharmacophore points, cyc - atoms belonging to cycles	P_VSA-like descriptors	Potential Pharmacophore Points	
1270	P_VSA_ppp_ter	P_VSA-like on potential pharmacophore points, ter - terminal atoms	P_VSA-like descriptors	Potential Pharmacophore Points	
1271	P_VSA_charge_1	P_VSA-like on partial charges, bin 1	P_VSA-like descriptors	Partial charges	
1272	P_VSA_charge_2	P_VSA-like on partial charges, bin 2	P_VSA-like descriptors	Partial charges	
1273	P_VSA_charge_3	P_VSA-like on partial charges, bin 3	P_VSA-like descriptors	Partial charges	
1274	P_VSA_charge_4	P_VSA-like on partial charges, bin 4	P_VSA-like descriptors	Partial charges	
1275	P_VSA_charge_5	P_VSA-like on partial charges, bin 5	P_VSA-like descriptors	Partial charges	
1276	P_VSA_charge_6	P_VSA-like on partial charges, bin 6	P_VSA-like descriptors	Partial charges	
1277	P_VSA_charge_7	P_VSA-like on partial charges, bin 7	P_VSA-like descriptors	Partial charges	
1278	P_VSA_charge_8	P_VSA-like on partial charges, bin 8	P_VSA-like descriptors	Partial charges	
1279	P_VSA_charge_9	P_VSA-like on partial charges, bin 9	P_VSA-like descriptors	Partial charges	
1280	P_VSA_charge_10	P_VSA-like on partial charges, bin 10	P_VSA-like descriptors	Partial charges	
1281	P_VSA_charge_11	P_VSA-like on partial charges, bin 11	P_VSA-like descriptors	Partial charges	
1282	P_VSA_charge_12	P_VSA-like on partial charges, bin 12	P_VSA-like descriptors	Partial charges	
1283	P_VSA_charge_13	P_VSA-like on partial charges, bin 13	P_VSA-like descriptors	Partial charges	
1284	P_VSA_charge_14	P_VSA-like on partial charges, bin 14	P_VSA-like descriptors	Partial charges	
1285	Eta_alpha	eta core count	ETA indices	Basic descriptors	
1286	Eta_alpha_A	eta average core count	ETA indices	Basic descriptors	
1287	Eta_epsi	eta electronegativity measure	ETA indices	Basic descriptors	
1288	Eta_epsi_A	eta average electronegativity measure	ETA indices	Basic descriptors	
1289	Eta_betaS	eta sigma VEM count	ETA indices	Basic descriptors	
1290	Eta_betaS_A	eta sigma average VEM count	ETA indices	Basic descriptors	
1291	Eta_betaP	eta pi and lone pair VEM count	ETA indices	Basic descriptors	
1292	Eta_betaP_A	eta pi and lone pair average VEM count	ETA indices	Basic descriptors	
1293	Eta_beta	eta VEM count	ETA indices	Basic descriptors	
1294	Eta_beta_A	eta average VEM count	ETA indices	Basic descriptors	
1295	Eta_C	eta composite index	ETA indices	Basic descriptors	
1296	Eta_C_A	eta average composite index	ETA indices	Basic descriptors	
1297	Eta_L	eta local composite index	ETA indices	Basic descriptors	
1298	Eta_L_A	eta average local composite index	ETA indices	Basic descriptors	
1299	Eta_R	eta composite index for reference alkane	ETA indices	Basic descriptors	
1300	Eta_F	eta functionality index	ETA indices	Basic descriptors	
1301	Eta_F_A	eta average functionality index	ETA indices	Basic descriptors	
1302	Eta_LR	eta local composite index for reference alkane	ETA indices	Basic descriptors	
1303	Eta_FL	eta local functionality index	ETA indices	Basic descriptors	
1304	Eta_FL_A	eta average local functionality index	ETA indices	Basic descriptors	
1305	Eta_B	eta branching index	ETA indices	Basic descriptors	
1306	Eta_B_A	eta average branching index	ETA indices	Basic descriptors	
1307	Eta_sh_p	eta p shape index	ETA indices	Basic descriptors	
1308	Eta_sh_y	eta y shape index	ETA indices	Basic descriptors	
1309	Eta_sh_x	eta x shape index	ETA indices	Basic descriptors	
1310	Eta_D_AlphaA	eta delta alpha a index	ETA indices	Basic descriptors	
1311	Eta_D_AlphaB	eta delta alpha b index	ETA indices	Basic descriptors	
1312	Eta_epsi_2	eta electronegativity measure 2	ETA indices	Basic descriptors	
1313	Eta_epsi_3	eta electronegativity measure 3	ETA indices	Basic descriptors	
1314	Eta_epsi_4	eta electronegativity measure 4	ETA indices	Basic descriptors	
1315	Eta_epsi_5	eta electronegativity measure 5	ETA indices	Basic descriptors	
1316	Eta_D_epsiA	eta measure of unsaturation and electronegative atom count	ETA indices	Basic descriptors	
1317	Eta_D_epsiB	eta measure of unsaturation	ETA indices	Basic descriptors	
1318	Eta_D_epsiC	eta measure of electronegativity	ETA indices	Basic descriptors	
1319	Eta_D_epsiD	eta measure of hydrogen bond donor atoms	ETA indices	Basic descriptors	
1320	Eta_psi1	eta measure of hydrogen bonding propensity and/or polar surface area	ETA indices	Basic descriptors	
1321	Eta_D_psiA	eta measure of hydrogen bonding propensity	ETA indices	Basic descriptors	
1322	Eta_D_psiB	eta measure of hydrogen bonding propensity	ETA indices	Basic descriptors	
1323	Eta_D_beta	eta measure of electronic features	ETA indices	Basic descriptors	
1324	Eta_D_beta_A	eta average measure of electronic features	ETA indices	Basic descriptors	
1325	SpMax_EA	leading eigenvalue from edge adjacency mat.	Edge adjacency indices	Spectral indices	
1326	SpMaxA_EA	normalized leading eigenvalue from edge adjacency mat.	Edge adjacency indices	Spectral indices	
1327	SpDiam_EA	spectral diameter from edge adjacency mat.	Edge adjacency indices	Spectral indices	
1328	SpAD_EA	spectral absolute deviation from edge adjacency mat.	Edge adjacency indices	Spectral indices	
1329	SpMAD_EA	spectral mean absolute deviation from edge adjacency mat.	Edge adjacency indices	Spectral indices	
1330	SpMax_EA(ed)	leading eigenvalue from edge adjacency mat. weighted by edge degree	Edge adjacency indices	Spectral indices	
1331	SpMaxA_EA(ed)	normalized leading eigenvalue from edge adjacency mat. weighted by edge degree	Edge adjacency indices	Spectral indices	
1332	SpDiam_EA(ed)	spectral diameter from edge adjacency mat. weighted by edge degree	Edge adjacency indices	Spectral indices	
1333	SpAD_EA(ed)	spectral absolute deviation from edge adjacency mat. weighted by edge degree	Edge adjacency indices	Spectral indices	
1334	SpMAD_EA(ed)	spectral mean absolute deviation from edge adjacency mat. weighted by edge degree	Edge adjacency indices	Spectral indices	
1335	SpMax_EA(bo)	leading eigenvalue from edge adjacency mat. weighted by bond order	Edge adjacency indices	Spectral indices	
