No.	NAME	nCIR	Rperim	Rbrid	MCD	NRS	NNRS	nR04	nR05	nR06	nR07	nR08	nBnz	ARR	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr08
189	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
190	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
191	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
192	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
193	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
194	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
195	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
196	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
197	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
198	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
199	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
200	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
201	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
202	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
203	Ampicillin	4	13	1	0.541666666666667	2	0.666666666666667	1	1	1	1	0	1	0.230769230769231	47.5813797313797	59.7656898656899	85.0553998289292	0
204	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
205	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
206	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
207	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
208	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
209	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
210	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
211	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
212	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
213	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
214	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
215	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
216	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
217	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
218	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
219	Cephalothin	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	51.6279553779554	79.3078078783961	77.8795426795427	106.595199245199
220	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
221	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
222	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
223	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
224	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
225	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
226	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
227	Sulbenicillin	4	13	1	0.481481481481481	2	0.666666666666667	1	1	1	1	0	1	0.206896551724138	55.954107004107	70.1838716838717	98.3411141146435	0
228	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
229	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
230	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
231	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
232	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
233	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
234	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
235	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
236	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
237	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
238	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
239	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
240	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
241	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
242	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
243	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
244	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
245	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
246	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
247	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
248	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
249	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
250	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
251	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
252	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
253	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
254	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
255	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
256	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
257	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
258	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
259	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
260	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
261	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
262	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
263	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
264	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
265	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
266	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
267	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
268	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
269	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
270	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
271	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
272	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
273	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
274	Piperacillin	5	19	1	0.527777777777778	3	0.75	1	1	2	1	0	1	0.153846153846154	80.0789478495361	100.94659343924	273.72191904243	0
275	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
276	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
277	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
278	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
279	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
280	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
281	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
282	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
283	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
284	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
285	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
286	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
287	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
288	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
289	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
290	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
291	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
292	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
293	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
294	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
295	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
296	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
297	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
298	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
299	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
300	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
301	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
302	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
303	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
304	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
305	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
306	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
307	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
308	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
309	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
310	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
311	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
312	Ampicillin	4	13	1	0.541666666666667	2	0.666666666666667	1	1	1	1	0	1	0.230769230769231	47.5813797313797	59.7656898656899	85.0553998289292	0
313	Sulbenicillin	4	13	1	0.481481481481481	2	0.666666666666667	1	1	1	1	0	1	0.206896551724138	55.954107004107	70.1838716838717	98.3411141146435	0
314	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
315	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
316	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
317	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
318	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
319	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
320	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
321	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
322	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
323	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
324	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
325	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
326	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
327	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
328	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
329	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
330	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
331	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
332	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
333	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
334	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
335	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
336	Cephalothin	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	51.6279553779554	79.3078078783961	77.8795426795427	106.595199245199
337	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
338	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
339	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
340	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
341	Ampicillin	4	13	1	0.541666666666667	2	0.666666666666667	1	1	1	1	0	1	0.230769230769231	47.5813797313797	59.7656898656899	85.0553998289292	0
342	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
343	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
344	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
345	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
346	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
347	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
348	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
349	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
350	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
351	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
352	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
353	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
354	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
355	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
356	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
357	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
358	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
359	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
360	Ampicillin	4	13	1	0.541666666666667	2	0.666666666666667	1	1	1	1	0	1	0.230769230769231	47.5813797313797	59.7656898656899	85.0553998289292	0
361	Sulbenicillin	4	13	1	0.481481481481481	2	0.666666666666667	1	1	1	1	0	1	0.206896551724138	55.954107004107	70.1838716838717	98.3411141146435	0
362	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
363	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
364	Carbenicillin	4	13	1	0.5	2	0.666666666666667	1	1	1	1	0	1	0.214285714285714	53.1631979131979	66.7111444111444	93.9125426860721	0
365	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
366	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
367	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
368	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
369	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
370	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
371	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
372	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
373	Sulbenicillin	4	13	1	0.481481481481481	2	0.666666666666667	1	1	1	1	0	1	0.206896551724138	55.954107004107	70.1838716838717	98.3411141146435	0
374	Sulbenicillin	4	13	1	0.481481481481481	2	0.666666666666667	1	1	1	1	0	1	0.206896551724138	55.954107004107	70.1838716838717	98.3411141146435	0
