No.	NAME	C-002	C-003	C-005	C-006	C-008	C-009	C-011	C-012	C-016	C-019	C-024	C-025	C-026	C-027	C-028	C-029	C-033	C-034	C-039	C-040	C-041	C-042	C-044	H-046	H-047	H-048	H-049	H-051	H-052	H-053	O-058	O-060	O-062	N-068	N-072	N-074	N-079
165	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
166	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
167	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
168	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
169	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
170	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
171	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
172	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
173	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
174	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
175	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
176	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
177	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
178	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
179	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
180	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
181	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
182	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
183	Penicillin N	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	1	0	2	8	0	4	0	2	0	2	0	1
184	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
185	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
186	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
187	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
188	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
189	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
190	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
191	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
192	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
193	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
194	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
195	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
196	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
197	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
198	Penicillin N	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	1	0	2	8	0	4	0	2	0	2	0	1
199	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
200	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
201	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
202	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
203	Ampicillin	0	0	0	0	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	6	0	3	0	1	0	2	0	0
204	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
205	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
206	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
207	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
208	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
209	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
210	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
211	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
212	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
213	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
214	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
215	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
216	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
217	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
218	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
219	Cephalothin	1	0	0	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	0	4	0	0	0	0	7	2	0	5	0	0	4	1	1	0	2	0	0
220	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
221	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
222	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
223	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
224	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
225	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
226	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
227	Sulbenicillin	0	0	0	0	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	6	0	5	0	2	0	2	0	0
228	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
229	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
230	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
231	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
232	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
233	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
234	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
235	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
236	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
237	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
238	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
239	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
240	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
241	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
242	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
243	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
244	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
245	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
246	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
247	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
248	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
249	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
250	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
251	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
252	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
253	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
254	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
255	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
256	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
257	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
258	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
259	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
260	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
261	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
262	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
263	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
264	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
265	Penicillin N	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	1	0	2	8	0	4	0	2	0	2	0	1
266	Penicillin N	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	1	0	2	8	0	4	0	2	0	2	0	1
267	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
268	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
269	Cefoxitin	1	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	1	1	0	3	1	0	0	0	9	2	0	2	0	0	4	1	1	0	3	0	0
270	Cefoxitin	1	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	1	1	0	3	1	0	0	0	9	2	0	2	0	0	4	1	1	0	3	0	0
271	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
272	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
273	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
274	Piperacillin	0	0	0	3	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	5	1	0	0	0	14	1	0	0	9	0	6	0	1	0	5	0	0
275	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
276	Cefoxitin	1	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	1	1	0	3	1	0	0	0	9	2	0	2	0	0	4	1	1	0	3	0	0
277	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
278	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
279	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
280	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
281	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
282	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
283	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
284	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
285	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
286	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
287	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
288	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
289	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
290	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
291	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
292	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
293	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
294	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
295	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
296	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
297	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
298	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
299	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
300	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
301	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
302	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
303	Carbenicillin	0	1	0	0	2	1	1	0	0	0	5	1	0	0	0	0	0	0	0	4	0	0	0	0	7	1	0	1	6	0	4	0	2	0	2	0	0
304	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
305	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
306	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
307	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
308	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
309	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
310	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
311	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
312	Ampicillin	0	0	0	0	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	6	0	3	0	1	0	2	0	0
313	Sulbenicillin	0	0	0	0	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	6	0	5	0	2	0	2	0	0
314	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
315	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
316	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
317	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
318	Carbenicillin	0	1	0	0	2	1	1	0	0	0	5	1	0	0	0	0	0	0	0	4	0	0	0	0	7	1	0	1	6	0	4	0	2	0	2	0	0
319	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
320	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
321	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
322	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
323	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
324	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
325	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
326	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
327	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
328	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
329	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
