No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES20_Isol	WHALES30_Isol	WHALES40_Isol	WHALES50_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES70_IR	WHALES80_IR	WHALES90_IR	WHALES100_IR
87	Cephaloglycin	-2.907	-1.89	-1.422	-1.068	-0.969	-0.544	0.322	0.477	0.583	1.176	2.57	-0.316	-0.202	-0.151	-0.109	-0.081	-0.061	0.026	0.087	0.098	0.134	0.255	-0.248	-0.184	-0.143	-0.097	-0.075	-0.058	0.154	0.2	0.235	0.387
88	Cefoperazone	-2.583	-1.888	-1.34	-1.026	-0.734	-0.602	0.328	0.637	0.82	1.193	2.165	-0.131	-0.103	-0.066	-0.057	-0.042	-0.024	0.02	0.049	0.068	0.083	0.111	-0.185	-0.154	-0.08	-0.058	-0.033	-0.013	0.054	0.084	0.116	0.156
89	Cefaclor	-3.503	-2.756	-1.999	-1.435	-1.04	-0.847	-0.438	0.532	0.696	0.935	2.464	-0.287	-0.218	-0.192	-0.162	-0.137	-0.118	-0.048	0.055	0.11	0.147	0.267	-0.504	-0.178	-0.157	-0.114	-0.072	-0.046	0.066	0.098	0.15	0.421
90	Cefaclor	-4.423	-3.23	-1.938	-1.329	-1.111	-0.821	-0.436	0.522	0.696	0.848	2.35	-0.364	-0.243	-0.202	-0.172	-0.155	-0.125	-0.08	0.104	0.123	0.148	0.25	-0.352	-0.273	-0.182	-0.132	-0.087	-0.053	0.085	0.165	0.209	0.617
91	Cefuroxime	-1.873	-1.516	-1.133	-1.007	-0.851	-0.476	0.614	0.701	0.752	1.042	3.155	-0.295	-0.186	-0.159	-0.108	-0.09	-0.063	0.074	0.101	0.132	0.143	0.265	-0.375	-0.212	-0.151	-0.119	-0.078	-0.033	0.134	0.182	0.202	0.286
92	Cephaloridine	-2.279	-1.85	-1.539	-0.978	-0.833	0.43	0.671	0.922	1.138	1.457	2.159	-0.387	-0.291	-0.221	-0.17	-0.117	0.031	0.088	0.124	0.151	0.182	0.319	-0.616	-0.227	-0.17	-0.126	-0.089	0.03	0.135	0.157	0.267	0.531
93	Cefsulodin	-3.34	-1.793	-1.394	-1.055	-0.956	-0.389	0.548	0.725	0.976	1.056	1.304	-0.265	-0.2	-0.169	-0.126	-0.1	-0.072	0.072	0.108	0.121	0.144	0.234	-0.541	-0.23	-0.147	-0.085	-0.069	-0.03	0.115	0.139	0.179	0.847
94	Cefuroxime	-1.993	-1.616	-1.205	-1.046	-0.809	-0.465	0.564	0.679	0.734	1.166	2.934	-0.255	-0.155	-0.128	-0.089	-0.077	-0.029	0.049	0.08	0.091	0.127	0.171	-0.299	-0.232	-0.141	-0.07	-0.047	-0.023	0.099	0.122	0.163	0.244
95	Imipenem	-1.94	-1.782	-1.33	-0.985	-0.425	0.401	0.532	0.709	1.077	1.268	2.375	-0.363	-0.237	-0.113	-0.082	-0.073	0.059	0.091	0.128	0.154	0.196	0.333	-0.388	-0.231	-0.131	-0.071	-0.047	0.072	0.144	0.159	0.271	0.413
96	BL-S217	-1.873	-1.168	-0.995	-0.852	0.338	0.616	0.766	0.92	1.159	1.534	2.848	-0.271	-0.12	-0.086	-0.068	0.043	0.085	0.096	0.106	0.112	0.128	0.143	-0.265	-0.117	-0.103	-0.041	0.032	0.065	0.1	0.146	0.18	0.327
97	Cephalosporin C	-1.497	-1.167	-1.13	-1.068	-0.799	0.338	0.573	0.793	0.884	0.996	1.451	-0.162	-0.147	-0.121	-0.072	-0.042	0.019	0.048	0.082	0.106	0.135	0.196	-0.278	-0.149	-0.108	-0.067	-0.037	0.021	0.11	0.139	0.192	0.498
98	Ceftazidime	-2.515	-1.598	-1.207	-0.989	-0.558	0.326	0.515	0.827	1.021	1.394	2.955	-0.235	-0.161	-0.108	-0.084	-0.049	0.014	0.061	0.074	0.101	0.131	0.204	-0.244	-0.171	-0.115	-0.068	-0.039	0.017	0.083	0.104	0.205	0.418
99	Imipenem	-2.131	-1.771	-1.446	-0.863	-0.455	0.383	0.519	0.715	1.11	1.244	2.582	-0.353	-0.227	-0.143	-0.101	-0.064	0.052	0.09	0.146	0.165	0.215	0.242	-0.371	-0.208	-0.142	-0.09	-0.058	0.069	0.162	0.179	0.233	0.507
100	Cefotaxime	-1.908	-1.421	-1.116	-0.888	-0.544	0.391	0.59	0.716	0.843	1.244	2.742	-0.246	-0.161	-0.098	-0.08	-0.066	0.019	0.048	0.08	0.087	0.108	0.182	-0.323	-0.182	-0.109	-0.07	-0.05	0.016	0.08	0.112	0.22	0.376
101	Cyclacillin	-4.283	-2.6	-2.138	-1.287	-1.072	-0.693	0.48	0.66	0.81	1.364	2.108	-0.252	-0.226	-0.209	-0.189	-0.148	-0.063	0.038	0.072	0.118	0.162	0.302	-0.709	-0.221	-0.192	-0.089	-0.055	-0.031	0.073	0.136	0.165	0.492
102	Cefoperazone	-2.611	-1.92	-1.379	-1	-0.74	-0.645	0.328	0.635	0.881	1.252	1.991	-0.136	-0.101	-0.069	-0.057	-0.048	-0.03	0.022	0.049	0.068	0.08	0.112	-0.196	-0.14	-0.078	-0.06	-0.031	-0.022	0.046	0.069	0.115	0.153
103	Cefsulodin	-3.058	-1.654	-1.2	-1.036	-0.896	-0.429	0.5	0.74	0.847	0.976	1.358	-0.253	-0.153	-0.128	-0.111	-0.079	-0.048	0.062	0.069	0.075	0.137	0.238	-0.403	-0.176	-0.118	-0.082	-0.051	-0.031	0.082	0.085	0.164	0.888
104	Cefmetazole	-2.425	-2.075	-1.322	-1.118	-1.003	-0.48	0.47	0.789	1.092	1.981	3.043	-0.268	-0.232	-0.19	-0.141	-0.114	-0.046	0.052	0.123	0.15	0.199	0.335	-0.356	-0.208	-0.155	-0.123	-0.073	-0.033	0.088	0.12	0.274	1.009
105	Ceftazidime	-2.49	-1.934	-1.05	-0.855	-0.545	0.364	0.557	0.744	0.993	1.28	1.966	-0.201	-0.139	-0.106	-0.087	-0.07	0.049	0.068	0.085	0.117	0.137	0.214	-0.289	-0.15	-0.118	-0.081	-0.048	0.049	0.099	0.125	0.153	0.315
106	Imipenem	-3.192	-1.387	-1.105	-0.745	-0.527	0.318	0.51	0.652	0.902	1.883	3.636	-0.282	-0.174	-0.142	-0.067	-0.044	0.075	0.106	0.136	0.163	0.198	0.3	-0.352	-0.232	-0.1	-0.057	-0.036	0.05	0.15	0.188	0.327	0.878
107	Nocardicin B	-2.197	-1.446	-1.029	-0.887	-0.77	-0.57	-0.407	0.662	0.764	0.911	1.094	-0.175	-0.101	-0.08	-0.064	-0.051	-0.044	-0.029	0.047	0.064	0.087	0.127	-0.237	-0.16	-0.111	-0.078	-0.044	-0.036	0.058	0.091	0.096	0.218
108	Cephalexin	-2.484	-1.958	-1.81	-1.518	-1.303	-0.938	-0.641	0.427	0.554	0.838	2.42	-0.328	-0.214	-0.174	-0.172	-0.131	-0.106	-0.076	0.032	0.135	0.248	0.274	-0.416	-0.188	-0.138	-0.115	-0.096	-0.065	0.046	0.171	0.26	0.607
109	Moxalactam	-2.551	-1.353	-1.247	-1.197	-0.954	-0.759	-0.284	0.491	0.762	1.329	1.915	-0.189	-0.16	-0.127	-0.103	-0.079	-0.063	-0.038	0.064	0.098	0.148	0.192	-0.341	-0.153	-0.121	-0.098	-0.075	-0.058	0.054	0.114	0.179	0.368
110	SCE-796	-2.197	-1.827	-1.242	-1.058	-0.752	-0.469	0.563	0.705	0.876	0.986	1.391	-0.264	-0.143	-0.087	-0.067	-0.053	-0.039	0.064	0.078	0.094	0.097	0.137	-0.563	-0.163	-0.094	-0.051	-0.031	-0.024	0.093	0.104	0.145	0.256
111	Cefuroxime	-2.04	-1.617	-1.215	-1.032	-0.87	-0.456	0.537	0.677	0.75	0.967	3.337	-0.317	-0.181	-0.13	-0.096	-0.072	-0.039	0.075	0.092	0.124	0.133	0.235	-0.28	-0.191	-0.156	-0.098	-0.044	-0.024	0.132	0.169	0.21	0.256
112	Cyclacillin	-4.143	-3.046	-2.184	-1.255	-1.097	-0.744	0.487	0.621	0.771	1.364	2.118	-0.373	-0.26	-0.221	-0.195	-0.155	-0.119	0.033	0.091	0.13	0.19	0.327	-0.644	-0.2	-0.161	-0.132	-0.072	-0.055	0.098	0.129	0.217	0.652
113	Cefuroxime	-2.328	-1.788	-1.278	-1.015	-0.796	-0.398	0.433	0.657	0.752	1.007	3.557	-0.258	-0.174	-0.131	-0.124	-0.087	-0.048	0.05	0.09	0.13	0.17	0.208	-0.388	-0.218	-0.137	-0.089	-0.058	-0.041	0.123	0.152	0.207	0.577
114	Cefuroxime	-2.04	-1.692	-1.206	-1.062	-0.75	-0.505	0.424	0.653	0.746	1.088	3.054	-0.192	-0.143	-0.098	-0.092	-0.076	-0.053	0.045	0.061	0.084	0.123	0.176	-0.269	-0.153	-0.116	-0.07	-0.054	-0.032	0.087	0.112	0.15	0.391
115	Cefaclor	-3.661	-2.721	-2.098	-1.264	-1.164	-0.92	-0.417	0.54	0.656	0.86	2.718	-0.316	-0.22	-0.21	-0.177	-0.137	-0.12	-0.09	0.133	0.168	0.228	0.31	-0.563	-0.214	-0.163	-0.13	-0.086	-0.046	0.075	0.263	0.34	0.581
116	Ceftriaxone	-2.38	-1.537	-1.224	-1.028	-0.943	-0.618	0.572	0.727	0.907	1.21	2.892	-0.281	-0.155	-0.123	-0.106	-0.093	-0.069	0.065	0.079	0.12	0.152	0.19	-0.689	-0.157	-0.125	-0.088	-0.075	-0.05	0.083	0.152	0.206	0.274
117	Cefuroxime	-2.16	-1.547	-1.331	-0.951	-0.795	-0.493	0.458	0.7	0.785	1.087	3.142	-0.236	-0.132	-0.119	-0.087	-0.062	-0.058	0.038	0.058	0.101	0.12	0.153	-0.278	-0.163	-0.106	-0.084	-0.051	-0.033	0.086	0.105	0.149	0.331
118	BL-S217	-2.049	-1.199	-0.942	-0.654	0.409	0.699	0.769	0.87	1.241	1.739	2.32	-0.3	-0.127	-0.072	-0.046	0.011	0.032	0.048	0.076	0.103	0.116	0.146	-0.255	-0.155	-0.105	-0.028	0.006	0.029	0.075	0.117	0.154	0.296
119	Ceftizoxime	-2.929	-1.919	-1.274	-0.976	-0.782	-0.495	0.511	0.64	0.801	1.256	3.487	-0.288	-0.203	-0.15	-0.111	-0.067	-0.038	0.064	0.098	0.132	0.209	0.277	-0.357	-0.204	-0.15	-0.08	-0.068	-0.018	0.12	0.142	0.213	0.546
120	Cyclacillin	-3.684	-2.757	-2.298	-1.308	-1.098	-0.61	0.479	0.616	0.75	1.441	1.909	-0.239	-0.195	-0.177	-0.15	-0.134	-0.061	0.032	0.064	0.1	0.145	0.346	-0.424	-0.216	-0.149	-0.1	-0.051	-0.028	0.066	0.118	0.148	0.628
121	Cephalexin	-3.934	-2.741	-2.29	-1.52	-1.168	-0.924	-0.644	0.539	0.693	0.743	2.74	-0.36	-0.279	-0.186	-0.173	-0.168	-0.115	-0.085	0.056	0.129	0.139	0.284	-0.345	-0.302	-0.202	-0.136	-0.082	-0.053	0.051	0.167	0.193	0.525
122	Nocardicin B	-2.078	-1.321	-1.215	-1.03	-0.665	-0.534	-0.319	0.318	0.745	0.887	1.402	-0.22	-0.139	-0.092	-0.078	-0.061	-0.051	-0.025	0.058	0.08	0.102	0.156	-0.456	-0.239	-0.112	-0.086	-0.071	-0.042	0.061	0.101	0.209	0.441
123	Cefamandole	-2.428	-1.645	-1.532	-1.356	-1.159	-0.823	-0.466	0.437	0.746	1.148	2.762	-0.309	-0.208	-0.149	-0.09	-0.088	-0.072	-0.045	0.049	0.1	0.166	0.247	-0.492	-0.212	-0.098	-0.087	-0.062	-0.054	0.04	0.1	0.151	0.511
124	Cefazolin	-3.261	-2.068	-1.445	-1.241	-0.923	-0.483	0.207	0.55	0.762	1.307	2.276	-0.255	-0.189	-0.148	-0.106	-0.057	-0.042	0.014	0.072	0.111	0.114	0.128	-0.521	-0.215	-0.161	-0.095	-0.061	-0.02	0.074	0.142	0.199	0.362
125	Cephalosporin C	-1.628	-1.294	-1.054	-0.976	-0.855	0.329	0.645	0.825	0.908	1.122	1.333	-0.154	-0.132	-0.099	-0.092	-0.052	0.031	0.068	0.098	0.125	0.136	0.154	-0.241	-0.143	-0.087	-0.066	-0.05	0.034	0.11	0.123	0.176	0.383
126	Cefoxitin	-4.139	-2.253	-1.463	-1.176	-0.952	-0.466	0.424	0.601	0.832	1.368	2.526	-0.217	-0.165	-0.145	-0.136	-0.092	-0.048	0.048	0.066	0.096	0.117	0.226	-0.281	-0.134	-0.104	-0.074	-0.056	-0.044	0.089	0.108	0.164	0.533
127	Ceftazidime	-3.335	-1.849	-1.092	-0.904	-0.523	0.332	0.496	0.762	0.904	1.427	2.872	-0.299	-0.14	-0.112	-0.079	-0.067	0.037	0.061	0.076	0.099	0.118	0.128	-0.292	-0.161	-0.122	-0.082	-0.053	0.024	0.075	0.103	0.153	0.3
128	Cyclacillin	-4.01	-3.293	-2.325	-1.298	-1.06	-0.631	0.493	0.615	0.749	1.386	1.913	-0.361	-0.214	-0.202	-0.161	-0.131	-0.12	0.031	0.097	0.138	0.226	0.343	-0.516	-0.204	-0.158	-0.101	-0.059	-0.04	0.103	0.146	0.177	0.651
129	Ceftriaxone	-2.183	-1.346	-1.094	-1.02	-0.957	-0.647	0.599	0.686	0.82	1.179	2.297	-0.203	-0.124	-0.1	-0.078	-0.058	-0.032	0.038	0.06	0.08	0.098	0.152	-0.294	-0.119	-0.091	-0.069	-0.057	-0.031	0.059	0.098	0.142	0.234
130	Cefuroxime	-2.178	-1.533	-1.281	-1.046	-0.811	-0.416	0.427	0.58	0.73	0.965	3.39	-0.172	-0.13	-0.101	-0.073	-0.048	-0.026	0.06	0.071	0.108	0.117	0.18	-0.253	-0.146	-0.083	-0.059	-0.035	-0.019	0.103	0.151	0.234	0.285
131	Cefuroxime	-1.979	-1.371	-1.139	-0.987	-0.797	-0.482	0.556	0.685	0.742	1.065	3.332	-0.267	-0.17	-0.111	-0.077	-0.073	-0.02	0.064	0.077	0.099	0.121	0.152	-0.299	-0.167	-0.138	-0.063	-0.048	-0.021	0.097	0.139	0.158	0.252
132	Imipenem	-2.077	-1.776	-1.283	-0.933	-0.447	0.356	0.537	0.716	1.118	1.274	2.608	-0.249	-0.202	-0.113	-0.094	-0.063	0.047	0.077	0.121	0.144	0.175	0.243	-0.265	-0.183	-0.16	-0.067	-0.048	0.065	0.096	0.139	0.221	0.608
133	Ampicillin	-4.308	-3.076	-2.251	-1.777	-0.986	-0.855	-0.572	0.316	0.528	0.81	1.461	-0.389	-0.312	-0.266	-0.201	-0.181	-0.148	-0.084	0.056	0.116	0.16	0.311	-0.354	-0.268	-0.203	-0.145	-0.102	-0.078	0.07	0.126	0.219	1.007
134	Ceftazidime	-2.345	-1.508	-1.115	-0.779	-0.605	0.406	0.555	1.038	1.066	1.389	1.767	-0.172	-0.133	-0.1	-0.067	-0.052	0.038	0.067	0.082	0.092	0.106	0.133	-0.254	-0.155	-0.089	-0.057	-0.039	0.024	0.074	0.088	0.167	0.312
135	Cefuroxime	-1.974	-1.494	-1.305	-1.036	-0.763	-0.499	0.483	0.651	0.781	1.13	3.304	-0.178	-0.133	-0.12	-0.085	-0.067	-0.021	0.06	0.081	0.099	0.116	0.139	-0.316	-0.165	-0.103	-0.069	-0.045	-0.012	0.085	0.106	0.165	0.278
136	Imipenem	-2.89	-1.655	-1.349	-0.822	-0.46	0.377	0.612	0.869	1.119	1.342	1.868	-0.253	-0.195	-0.149	-0.098	-0.062	0.056	0.075	0.1	0.158	0.206	0.312	-0.223	-0.213	-0.168	-0.085	-0.038	0.062	0.105	0.14	0.27	0.549
137	Cephalosporin C	-1.836	-1.292	-1.082	-0.901	-0.851	0.321	0.637	0.841	0.919	1.133	1.403	-0.169	-0.133	-0.121	-0.102	-0.054	0.043	0.079	0.108	0.14	0.151	0.195	-0.33	-0.149	-0.114	-0.072	-0.05	0.062	0.126	0.14	0.196	0.477
138	Ceftizoxime	-3.255	-1.825	-1.084	-0.988	-0.776	-0.536	0.532	0.716	0.854	1.241	3.527	-0.258	-0.206	-0.123	-0.11	-0.057	-0.016	0.048	0.083	0.131	0.152	0.331	-0.281	-0.226	-0.138	-0.066	-0.044	-0.014	0.097	0.109	0.2	0.683
139	Ceftriaxone	-2.036	-1.519	-1.221	-1.062	-0.769	-0.507	0.634	0.718	0.794	1.297	2.276	-0.207	-0.135	-0.106	-0.098	-0.088	-0.062	0.037	0.075	0.089	0.104	0.191	-0.269	-0.163	-0.119	-0.095	-0.064	-0.038	0.06	0.099	0.149	0.27
140	Cefazolin	-3.147	-2.018	-1.346	-1.039	-0.897	-0.515	0.211	0.601	0.89	1.043	2.159	-0.25	-0.158	-0.121	-0.093	-0.086	-0.073	0.036	0.086	0.107	0.115	0.169	-0.438	-0.191	-0.169	-0.079	-0.066	-0.03	0.085	0.129	0.17	0.306
141	Cephalosporin C	-1.753	-1.319	-1.076	-0.995	-0.823	0.34	0.658	0.855	1.013	1.111	1.454	-0.172	-0.157	-0.147	-0.115	-0.079	0.061	0.096	0.112	0.131	0.18	0.195	-0.449	-0.146	-0.121	-0.114	-0.067	0.069	0.116	0.16	0.227	0.536
142	Imipenem	-1.88	-1.48	-1.218	-1.086	-0.458	0.435	0.611	0.803	0.934	1.247	1.371	-0.403	-0.265	-0.146	-0.089	-0.063	0.044	0.078	0.127	0.146	0.191	0.28	-0.343	-0.211	-0.187	-0.113	-0.047	0.063	0.122	0.142	0.317	0.472
143	Cefacetrile	-2.507	-1.366	-0.943	-0.827	-0.382	0.614	0.81	1.03	1.353	1.523	2.558	-0.367	-0.267	-0.173	-0.161	-0.099	0.11	0.119	0.139	0.185	0.226	0.275	-0.802	-0.343	-0.222	-0.108	-0.059	0.07	0.12	0.189	0.253	0.832
144	Nocardicin B	-2.286	-1.36	-1.19	-0.834	-0.721	-0.457	-0.277	0.503	0.689	0.857	1.515	-0.19	-0.107	-0.091	-0.073	-0.067	-0.048	-0.028	0.032	0.051	0.077	0.156	-0.476	-0.225	-0.099	-0.088	-0.075	-0.049	0.036	0.078	0.147	0.288
145	Cefuroxime	-2.68	-1.681	-1.376	-1.084	-0.797	-0.35	0.475	0.645	0.842	1.045	3.022	-0.251	-0.163	-0.13	-0.099	-0.071	-0.018	0.061	0.115	0.147	0.205	0.233	-0.52	-0.204	-0.106	-0.061	-0.045	-0.011	0.14	0.161	0.253	0.779
146	Aztreonam	-2.402	-1.541	-1.389	-1.056	-0.881	-0.564	-0.242	0.499	0.694	0.985	1.477	-0.276	-0.139	-0.126	-0.09	-0.081	-0.064	-0.021	0.046	0.078	0.116	0.21	-0.315	-0.164	-0.113	-0.088	-0.076	-0.053	0.039	0.13	0.177	0.253
147	Cefaclor	-4.049	-2.847	-2.158	-1.294	-1.025	-0.925	-0.46	0.579	0.677	0.869	2.466	-0.337	-0.236	-0.208	-0.173	-0.144	-0.117	-0.04	0.106	0.134	0.184	0.281	-0.342	-0.246	-0.185	-0.122	-0.076	-0.04	0.074	0.168	0.233	0.581
148	Aztreonam	-2.553	-1.66	-1.557	-1.145	-0.914	-0.687	-0.28	0.552	0.807	1.077	1.314	-0.332	-0.206	-0.153	-0.103	-0.085	-0.05	-0.02	0.058	0.068	0.145	0.254	-0.328	-0.22	-0.143	-0.098	-0.059	-0.042	0.054	0.115	0.201	0.325
149	LY097964	-3.198	-1.909	-1.141	-1.045	-0.897	-0.584	0.548	0.655	0.806	1.209	3.413	-0.244	-0.159	-0.127	-0.1	-0.072	-0.029	0.05	0.09	0.114	0.148	0.345	-0.246	-0.225	-0.132	-0.068	-0.047	-0.015	0.096	0.108	0.199	0.66
150	LY097964	-2.866	-1.785	-1.284	-0.988	-0.753	-0.47	0.484	0.626	0.98	1.181	2.536	-0.224	-0.19	-0.133	-0.118	-0.062	-0.036	0.056	0.078	0.122	0.15	0.228	-0.567	-0.221	-0.162	-0.072	-0.059	-0.026	0.074	0.119	0.244	0.408
151	Ceftazidime	-2.273	-1.279	-1.102	-0.933	-0.709	0.399	0.619	0.805	1.072	1.342	1.453	-0.18	-0.125	-0.11	-0.091	-0.059	0.016	0.051	0.063	0.087	0.127	0.175	-0.246	-0.122	-0.1	-0.085	-0.059	0.02	0.068	0.117	0.163	0.384
152	Nocardicin B	-1.661	-1.276	-1.141	-0.923	-0.746	-0.637	-0.342	0.643	0.713	0.94	1.467	-0.269	-0.118	-0.068	-0.061	-0.054	-0.043	-0.031	0.049	0.061	0.095	0.153	-0.788	-0.109	-0.102	-0.067	-0.048	-0.044	0.05	0.086	0.137	0.315
153	Cefacetrile	-2.957	-1.237	-0.965	-0.741	-0.473	0.376	0.615	0.785	0.981	1.358	2.065	-0.342	-0.203	-0.107	-0.093	-0.052	0.083	0.095	0.105	0.131	0.143	0.278	-0.403	-0.203	-0.126	-0.092	-0.037	0.05	0.132	0.18	0.238	0.51
154	Aztreonam	-2.147	-1.384	-1.182	-1.112	-0.736	-0.602	-0.31	0.603	0.711	0.909	1.336	-0.277	-0.167	-0.126	-0.119	-0.093	-0.075	-0.048	0.06	0.085	0.142	0.187	-0.391	-0.161	-0.128	-0.111	-0.099	-0.073	0.069	0.15	0.186	0.297
155	BL-S217	-1.912	-1.212	-0.988	-0.857	0.323	0.679	0.763	0.897	1.157	1.472	2.903	-0.289	-0.117	-0.1	-0.07	0.068	0.076	0.083	0.089	0.108	0.135	0.163	-0.284	-0.149	-0.094	-0.062	0.029	0.065	0.099	0.121	0.199	0.362
156	Ceftazidime	-2.845	-1.942	-1.204	-0.799	-0.563	0.444	0.65	0.83	1.197	1.489	1.986	-0.209	-0.142	-0.102	-0.083	-0.056	0.038	0.048	0.084	0.099	0.108	0.178	-0.431	-0.203	-0.119	-0.056	-0.031	0.028	0.062	0.12	0.143	0.243
157	Cefuroxime	-1.95	-1.606	-1.105	-1.047	-0.76	-0.544	0.417	0.649	0.866	1.157	3.103	-0.179	-0.119	-0.1	-0.086	-0.063	-0.041	0.061	0.075	0.094	0.115	0.177	-0.303	-0.138	-0.1	-0.058	-0.052	-0.026	0.086	0.102	0.149	0.423
158	Cephaloglycin	-3.454	-2.349	-1.4	-1.18	-1.038	-0.727	0.458	0.64	0.812	1.001	2.119	-0.304	-0.199	-0.165	-0.158	-0.122	-0.089	0.044	0.086	0.103	0.119	0.173	-0.264	-0.188	-0.156	-0.129	-0.078	-0.051	0.096	0.123	0.165	0.329
159	Cefaclor	-3.846	-2.591	-1.96	-1.382	-1.207	-0.902	-0.449	0.563	0.598	0.886	1.923	-0.335	-0.23	-0.199	-0.171	-0.122	-0.094	-0.045	0.096	0.126	0.228	0.247	-0.413	-0.202	-0.142	-0.114	-0.074	-0.044	0.096	0.207	0.261	0.432
160	Cephaloglycin	-3.324	-2.254	-1.408	-1.229	-0.956	-0.699	0.439	0.607	0.8	1.007	2.141	-0.309	-0.204	-0.175	-0.146	-0.117	-0.089	0.052	0.09	0.105	0.115	0.163	-0.301	-0.195	-0.168	-0.119	-0.07	-0.048	0.108	0.134	0.159	0.28
161	Cyclacillin	-4.469	-2.821	-2.535	-1.278	-1.071	-0.456	0.358	0.558	0.741	1.434	2.097	-0.405	-0.266	-0.19	-0.166	-0.133	-0.066	0.047	0.14	0.199	0.212	0.334	-0.572	-0.175	-0.149	-0.099	-0.067	-0.051	0.117	0.2	0.387	1.039
162	Cephaloridine	-2.582	-1.923	-1.513	-1.169	-0.788	0.419	0.619	0.78	1.164	1.34	2.426	-0.37	-0.246	-0.197	-0.141	-0.122	0.029	0.095	0.107	0.144	0.183	0.242	-0.376	-0.183	-0.165	-0.115	-0.072	0.026	0.115	0.175	0.278	0.484
163	Cefacetrile	-3.145	-1.31	-1.123	-0.828	-0.371	0.524	0.716	0.879	1.165	1.481	2.119	-0.252	-0.201	-0.164	-0.156	-0.091	0.084	0.116	0.135	0.179	0.211	0.322	-0.501	-0.211	-0.169	-0.146	-0.058	0.076	0.134	0.207	0.236	0.662
164	Cephaloridine	-2.974	-2.112	-1.626	-1.017	-0.845	0.418	0.741	0.858	1.088	1.426	3.004	-0.41	-0.212	-0.16	-0.148	-0.071	0.031	0.091	0.115	0.161	0.177	0.275	-0.476	-0.189	-0.094	-0.079	-0.047	0.024	0.105	0.155	0.237	0.537
165	Nocardicin B	-2.278	-1.355	-1.231	-1.042	-0.749	-0.595	-0.335	0.464	0.707	1.009	1.554	-0.151	-0.09	-0.075	-0.057	-0.04	-0.026	-0.018	0.035	0.072	0.118	0.158	-0.211	-0.136	-0.077	-0.061	-0.04	-0.03	0.042	0.117	0.176	0.378
166	SCE-796	-3.02	-1.726	-1.246	-1.027	-0.701	-0.499	0.613	0.753	0.908	1.011	1.299	-0.258	-0.165	-0.103	-0.083	-0.08	-0.022	0.067	0.088	0.092	0.122	0.161	-0.488	-0.164	-0.12	-0.066	-0.045	-0.016	0.096	0.123	0.171	0.264
167	Cephalosporin C	-1.776	-1.23	-1.063	-1.004	-0.892	0.335	0.694	0.843	0.915	1.115	1.347	-0.167	-0.143	-0.126	-0.082	-0.037	0.024	0.048	0.087	0.107	0.132	0.166	-0.287	-0.15	-0.096	-0.069	-0.034	0.027	0.076	0.116	0.153	0.495
168	Cefacetrile	-2.443	-1.302	-1.047	-0.831	-0.364	0.349	0.733	0.918	1.14	1.521	2.106	-0.262	-0.223	-0.135	-0.113	-0.093	0.099	0.11	0.124	0.169	0.213	0.235	-0.385	-0.25	-0.136	-0.102	-0.055	0.064	0.155	0.18	0.262	0.743
169	Cefuroxime	-1.993	-1.581	-1.109	-1.054	-0.768	-0.559	0.447	0.587	0.846	1.161	3.02	-0.161	-0.114	-0.102	-0.08	-0.071	-0.018	0.058	0.092	0.099	0.114	0.145	-0.289	-0.128	-0.093	-0.068	-0.051	-0.016	0.08	0.121	0.196	0.343
170	Cyclacillin	-3.177	-2.644	-2.43	-1.675	-0.986	-0.487	0.305	0.525	0.726	1.136	1.636	-0.309	-0.294	-0.232	-0.207	-0.165	-0.104	0.063	0.121	0.169	0.197	0.334	-0.435	-0.216	-0.172	-0.126	-0.096	-0.061	0.125	0.155	0.341	1.279
171	Cephaloridine	-2.195	-1.746	-1.506	-1.089	-0.777	0.428	0.724	0.853	1.154	1.461	1.893	-0.313	-0.228	-0.215	-0.168	-0.132	0.048	0.103	0.123	0.163	0.213	0.248	-0.382	-0.204	-0.163	-0.104	-0.096	0.045	0.117	0.199	0.229	0.572
172	Cefuroxime	-3.009	-1.651	-1.176	-0.99	-0.818	-0.436	0.468	0.736	0.945	1.059	2.359	-0.285	-0.207	-0.163	-0.113	-0.051	-0.016	0.046	0.07	0.094	0.141	0.194	-0.261	-0.239	-0.151	-0.083	-0.053	-0.019	0.06	0.115	0.163	0.458
173	Cefotaxime	-2.205	-1.451	-0.994	-0.908	-0.54	0.348	0.544	0.65	0.929	1.272	2.307	-0.155	-0.109	-0.093	-0.066	-0.044	0.031	0.054	0.087	0.102	0.119	0.158	-0.448	-0.122	-0.068	-0.047	-0.035	0.022	0.092	0.152	0.214	0.483
174	Aztreonam	-2.428	-2.221	-1.029	-0.897	-0.782	-0.586	-0.3	0.514	0.708	0.956	1.38	-0.307	-0.204	-0.14	-0.108	-0.068	-0.058	-0.021	0.074	0.093	0.139	0.221	-0.364	-0.195	-0.143	-0.121	-0.095	-0.048	0.088	0.148	0.22	0.495
